Date : 2024-12-18 17:26:03
Directory : d:\UnicLabs\BYTUBE\BYTUBE\frontend
Total : 150 files,  90891 codes, 17577 comments, 14699 blanks, all 123167 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\StudioPage\VideosSettings\VideoOverview                                                               |          6 |        403 |          0 |         74 |        477 |
| src\components\StudioPage\VideosSettings\VideoOverview (Files)                                                       |          2 |         48 |          0 |          8 |         56 |
| src\components\StudioPage\VideosSettings\VideoOverview\CommentsOverview                                              |          1 |         17 |          0 |          4 |         21 |
| src\components\StudioPage\VideosSettings\VideoOverview\VideoEdit                                                     |          2 |        309 |          0 |         57 |        366 |
| src\components\StudioPage\VideosSettings\VideoOverview\VideoStats                                                    |          1 |         29 |          0 |          5 |         34 |
| src\components\StudioPage\VideosSettings\VideosList                                                                  |          4 |        137 |          0 |         33 |        170 |
| src\components\StudioPage\VideosSettings\VideosList (Files)                                                          |          2 |         81 |          0 |         17 |         98 |
| src\components\StudioPage\VideosSettings\VideosList\VideoItem                                                        |          2 |         56 |          0 |         16 |         72 |
| src\components\VideoMain                                                                                             |          3 |        146 |          0 |         38 |        184 |
| src\components\VideoMain (Files)                                                                                     |          1 |         40 |          0 |          7 |         47 |
| src\components\VideoMain\VideoElement                                                                                |          2 |        106 |          0 |         31 |        137 |
| src\components\VideoPage                                                                                             |         15 |        715 |          0 |        143 |        858 |
| src\components\VideoPage (Files)                                                                                     |          2 |        210 |          0 |         35 |        245 |
| src\components\VideoPage\ChannelButton                                                                               |          2 |        100 |          0 |         21 |        121 |
| src\components\VideoPage\MarkVideo                                                                                   |          2 |         84 |          0 |         15 |         99 |
| src\components\VideoPage\OtherVideos                                                                                 |          1 |         28 |          0 |          5 |         33 |
| src\components\VideoPage\PlaylistViewer                                                                              |          4 |        130 |          0 |         32 |        162 |
| src\components\VideoPage\PlaylistViewer (Files)                                                                      |          2 |         60 |          0 |         14 |         74 |
| src\components\VideoPage\PlaylistViewer\VideoItem                                                                    |          2 |         70 |          0 |         18 |         88 |
| src\components\VideoPage\ReportModal                                                                                 |          2 |         85 |          0 |         15 |        100 |
| src\components\VideoPage\VideoElement                                                                                |          2 |         78 |          0 |         20 |         98 |
| src\components\VideoPlayer                                                                                           |          3 |         77 |          0 |         20 |         97 |
| src\helpers                                                                                                          |          7 |        134 |          0 |         38 |        172 |
| src\hooks                                                                                                            |         10 |        277 |          0 |         70 |        347 |
| src\stores                                                                                                           |          5 |         85 |          0 |         32 |        117 |
| src\styles                                                                                                           |          6 |         97 |          0 |         38 |        135 |
| src\types                                                                                                            |         11 |        166 |          0 |         62 |        228 |
| src\types (Files)                                                                                                    |          5 |         61 |          0 |         22 |         83 |
| src\types\models                                                                                                     |          6 |        105 |          0 |         40 |        145 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\.prettierrc                                                                       | JSON               |          9 |          0 |          1 |         10 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\bundle.js                                                                   | JavaScript         |     76,225 |     17,459 |     13,504 |    107,188 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\index.html                                                                  | HTML               |         11 |          0 |          1 |         12 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerDailyMotion.bundle.js                                            | JavaScript         |        143 |          8 |          5 |        156 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerFacebook.bundle.js                                               | JavaScript         |        144 |          8 |          5 |        157 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerFilePlayer.bundle.js                                             | JavaScript         |        372 |          9 |          5 |        386 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerKaltura.bundle.js                                                | JavaScript         |        141 |          8 |          5 |        154 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerMixcloud.bundle.js                                               | JavaScript         |        129 |          8 |          5 |        142 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerMux.bundle.js                                                    | JavaScript         |        227 |         10 |          5 |        242 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerPreview.bundle.js                                                | JavaScript         |        138 |          8 |          5 |        151 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerSoundCloud.bundle.js                                             | JavaScript         |        146 |          8 |          5 |        159 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerStreamable.bundle.js                                             | JavaScript         |        139 |          8 |          5 |        152 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerTwitch.bundle.js                                                 | JavaScript         |        132 |          9 |          5 |        146 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerVidyard.bundle.js                                                | JavaScript         |        137 |          8 |          5 |        150 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerVimeo.bundle.js                                                  | JavaScript         |        177 |          9 |          5 |        191 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerWistia.bundle.js                                                 | JavaScript         |        152 |          9 |          5 |        166 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerYouTube.bundle.js                                                | JavaScript         |        223 |          8 |          5 |        236 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\package-lock.json                                                                 | JSON               |      6,820 |          0 |          1 |      6,821 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\package.json                                                                      | JSON               |         43 |          0 |          1 |         44 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\public\index.html                                                                 | HTML               |         11 |          0 |          1 |         12 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\appStoreContext.ts                                                            | TypeScript         |         10 |          0 |          5 |         15 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AddToPlaylistModal\index.tsx                                       | TypeScript JSX     |         83 |          0 |         12 |         95 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AddToPlaylistModal\styles.scss                                     | SCSS               |         16 |          0 |          7 |         23 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\ReportView\intex.tsx                                     | TypeScript JSX     |         55 |          0 |          6 |         61 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\ReportView\style.scss                                    | SCSS               |          0 |          0 |          1 |          1 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\VideoItem\index.tsx                                      | TypeScript JSX     |        109 |          0 |         12 |        121 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\VideoItem\style.scss                                     | SCSS               |         35 |          0 |         15 |         50 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\index.tsx                                                | TypeScript JSX     |        144 |          0 |         13 |        157 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\style.scss                                               | SCSS               |         23 |          0 |          8 |         31 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreateChannelModal\index.tsx                             | TypeScript JSX     |        132 |          0 |         15 |        147 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreateChannelModal\style.scss                            | SCSS               |         31 |          0 |         13 |         44 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreatePlaylistModal\index.tsx                            | TypeScript JSX     |         89 |          0 |         10 |         99 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreatePlaylistModal\styles.scss                          | SCSS               |          7 |          0 |          3 |         10 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\HeaderDrawerButton\index.tsx                | TypeScript JSX     |         22 |          0 |          7 |         29 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\HeaderDrawerButton\style.scss               | SCSS               |         30 |          0 |         15 |         45 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\index.tsx                                   | TypeScript JSX     |        187 |          0 |         12 |        199 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\style.scss                                  | SCSS               |         31 |          0 |         15 |         46 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\HeaderDrawer\types.ts                                    | TypeScript         |         10 |          0 |          3 |         13 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\VideoItem\index.tsx                        | TypeScript JSX     |         45 |          0 |          4 |         49 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\VideoItem\style.scss                       | SCSS               |         29 |          0 |         14 |         43 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\PlaylistModal\index.tsx                                  | TypeScript JSX     |        101 |          0 |          9 |        110 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\index.tsx                                                | TypeScript JSX     |        110 |          0 |         16 |        126 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\style.scss                                               | SCSS               |         77 |          0 |         31 |        108 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\App\index.tsx                                                      | TypeScript JSX     |         13 |          0 |          4 |         17 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Header\index.tsx                                          | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Header\style.scss                                         | SCSS               |          5 |          0 |          2 |          7 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\index.tsx                                        | TypeScript JSX     |         91 |          0 |         14 |        105 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\style.scss                                       | SCSS               |         60 |          0 |         24 |         84 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Register\types.ts                                         | TypeScript         |          0 |          0 |          1 |          1 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\index.tsx                                          | TypeScript JSX     |         80 |          0 |          8 |         88 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\style.scss                                         | SCSS               |         45 |          0 |         19 |         64 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\Signin\types.ts                                           | TypeScript         |          0 |          0 |          1 |          1 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AuthPage\index.tsx                                                 | TypeScript JSX     |         11 |          0 |          3 |         14 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\ChannelPage\index.tsx                                              | TypeScript JSX     |        113 |          0 |         13 |        126 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\ChannelPage\styles.scss                                            | SCSS               |         35 |          0 |         15 |         50 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\CommentItem\index.tsx                               | TypeScript JSX     |         96 |          0 |         12 |        108 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\index.tsx                                           | TypeScript JSX     |        129 |          0 |         20 |        149 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CommentsViewer\styles.scss                                         | SCSS               |         33 |          0 |         12 |         45 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CustomUI\Button0\index.tsx                                         | TypeScript JSX     |         23 |          0 |          5 |         28 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\CustomUI\Button0\style.scss                                        | SCSS               |          8 |          0 |          5 |         13 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\GeneralRoutes\index.tsx                                            | TypeScript JSX     |         34 |          0 |          3 |         37 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\Logo\index.tsx                                                     | TypeScript JSX     |         20 |          0 |          3 |         23 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\Logo\styles.scss                                                   | SCSS               |          3 |          0 |          0 |          3 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\VideoItem\index.tsx                                     | TypeScript JSX     |         39 |          0 |          3 |         42 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\VideoItem\style.scss                                    | SCSS               |         30 |          0 |         12 |         42 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\index.tsx                                               | TypeScript JSX     |         73 |          0 |         10 |         83 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\SearchPage\style.scss                                              | SCSS               |         21 |          0 |          4 |         25 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\ChannelSettings\index.tsx                               | TypeScript JSX     |        148 |          0 |         15 |        163 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\ChannelSettings\style.scss                              | SCSS               |         53 |          0 |         21 |         74 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoCreate\index.tsx                    | TypeScript JSX     |        239 |          0 |         21 |        260 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoCreate\style.scss                   | SCSS               |        103 |          0 |         33 |        136 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\CommentsOverview\index.tsx | TypeScript JSX     |         17 |          0 |          4 |         21 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoEdit\index.tsx        | TypeScript JSX     |        206 |          0 |         24 |        230 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoEdit\style.scss       | SCSS               |        103 |          0 |         33 |        136 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\VideoStats\index.tsx       | TypeScript JSX     |         29 |          0 |          5 |         34 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\index.tsx                  | TypeScript JSX     |         40 |          0 |          6 |         46 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideoOverview\style.scss                 | SCSS               |          8 |          0 |          2 |         10 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\VideoItem\index.tsx           | TypeScript JSX     |         33 |          0 |          5 |         38 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\VideoItem\style.scss          | SCSS               |         23 |          0 |         11 |         34 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\index.tsx                     | TypeScript JSX     |         61 |          0 |          8 |         69 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\VideosList\style.scss                    | SCSS               |         20 |          0 |          9 |         29 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\index.tsx                                | TypeScript JSX     |         21 |          0 |          5 |         26 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\VideosSettings\types.ts                                 | TypeScript         |          5 |          0 |          3 |          8 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\index.tsx                                               | TypeScript JSX     |         66 |          0 |         11 |         77 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\style.scss                                              | SCSS               |         23 |          0 |          8 |         31 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\StudioPage\types.ts                                                | TypeScript         |          0 |          0 |          1 |          1 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\VideoElement\index.tsx                                   | TypeScript JSX     |         39 |          0 |          4 |         43 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\VideoElement\styles.scss                                 | SCSS               |         67 |          0 |         27 |         94 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoMain\index.tsx                                                | TypeScript JSX     |         40 |          0 |          7 |         47 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ChannelButton\index.tsx                                  | TypeScript JSX     |         79 |          0 |         12 |         91 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ChannelButton\style.scss                                 | SCSS               |         21 |          0 |          9 |         30 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\MarkVideo\index.tsx                                      | TypeScript JSX     |         70 |          0 |         12 |         82 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\MarkVideo\style.scss                                     | SCSS               |         14 |          0 |          3 |         17 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\OtherVideos\index.tsx                                    | TypeScript JSX     |         28 |          0 |          5 |         33 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\VideoItem\index.tsx                       | TypeScript JSX     |         41 |          0 |          4 |         45 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\VideoItem\style.scss                      | SCSS               |         29 |          0 |         14 |         43 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\index.tsx                                 | TypeScript JSX     |         51 |          0 |          9 |         60 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\PlaylistViewer\style.scss                                | SCSS               |          9 |          0 |          5 |         14 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ReportModal\index.tsx                                    | TypeScript JSX     |         74 |          0 |         11 |         85 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\ReportModal\style.scss                                   | SCSS               |         11 |          0 |          4 |         15 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\VideoElement\index.tsx                                   | TypeScript JSX     |         43 |          0 |          4 |         47 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\VideoElement\style.scss                                  | SCSS               |         35 |          0 |         16 |         51 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\index.tsx                                                | TypeScript JSX     |        165 |          0 |         15 |        180 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPage\style.scss                                               | SCSS               |         45 |          0 |         20 |         65 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\index.tsx                                              | TypeScript JSX     |         42 |          0 |          8 |         50 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\style.scss                                             | SCSS               |         27 |          0 |          9 |         36 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\types.ts                                               | TypeScript         |          8 |          0 |          3 |         11 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetCreatedTimeText.ts                                                 | TypeScript         |         34 |          0 |          6 |         40 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetFileUrl.ts                                                         | TypeScript         |          8 |          0 |          2 |         10 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetUrlParams.ts                                                       | TypeScript         |         10 |          0 |          5 |         15 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\IsRightImageFormat.ts                                                 | TypeScript         |         14 |          0 |          5 |         19 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\IsRightVideoFormat.ts                                                 | TypeScript         |         14 |          0 |          5 |         19 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\QeuriesUrls.ts                                                        | TypeScript         |         36 |          0 |          9 |         45 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\SortVideosByOrder.ts                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useAuth.ts                                                              | TypeScript         |         26 |          0 |          5 |         31 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useOnScrollEnd.ts                                                       | TypeScript         |         23 |          0 |          8 |         31 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useOwnChannel.ts                                                        | TypeScript         |         29 |          0 |          6 |         35 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useProtected.ts                                                         | TypeScript         |         13 |          0 |          4 |         17 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useTrigger.ts                                                           | TypeScript         |          9 |          0 |          5 |         14 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideo.ts                                                             | TypeScript         |         29 |          0 |          5 |         34 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideoGlobal.ts                                                       | TypeScript         |         35 |          0 |          7 |         42 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideoMarks.ts                                                        | TypeScript         |         34 |          0 |          8 |         42 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideos.ts                                                            | TypeScript         |         44 |          0 |          8 |         52 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideosWithPagination.ts                                              | TypeScript         |         35 |          0 |         14 |         49 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\index.tsx                                                                     | TypeScript JSX     |         20 |          0 |          3 |         23 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\modules.d.ts                                                                  | TypeScript         |         24 |          0 |          6 |         30 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\ChannelStore.ts                                                        | TypeScript         |         12 |          0 |          5 |         17 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\SearchDataStore.ts                                                     | TypeScript         |         29 |          0 |         11 |         40 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\StoreWrapper.ts                                                        | TypeScript         |         11 |          0 |          3 |         14 |
| d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\UserStore.ts                                                           | TypeScript         |         21 |          0 |          8 |         29 |
